Subject,pred,gold,Is_Correct,Model
abstract_algebra,C,A,0,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,C,A,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,C,D,0,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,B,A,0,Qwen3.5-9B
abstract_algebra,A,D,0,Qwen3.5-9B
abstract_algebra,D,C,0,Qwen3.5-9B
abstract_algebra,C,B,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,D,C,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,A,B,0,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,B,C,0,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,B,D,0,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,A,0,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,B,0,Qwen3.5-9B
anatomy,C,B,0,Qwen3.5-9B
anatomy,D,B,0,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,B,A,0,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,B,0,Qwen3.5-9B
anatomy,A,C,0,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,C,0,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,C,0,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,D,C,0,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,A,B,0,Qwen3.5-9B
anatomy,B,D,0,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,A,D,0,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,D,0,Qwen3.5-9B
anatomy,D,B,0,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,A,0,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,C,0,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,C,0,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,A,B,0,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,B,0,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,D,0,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,B,0,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,B,B,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,D,B,0,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,D,A,0,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
anatomy,A,A,1,Qwen3.5-9B
anatomy,C,C,1,Qwen3.5-9B
anatomy,D,D,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,A,B,0,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,A,0,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,B,C,0,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,D,C,0,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,B,D,0,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,A,D,0,Qwen3.5-9B
astronomy,D,A,0,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,C,0,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,B,D,0,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
astronomy,D,D,1,Qwen3.5-9B
astronomy,A,B,0,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,B,D,0,Qwen3.5-9B
astronomy,A,A,1,Qwen3.5-9B
astronomy,C,C,1,Qwen3.5-9B
astronomy,B,B,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,A,B,0,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,A,B,0,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,D,A,0,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,C,A,0,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,C,D,0,Qwen3.5-9B
business_ethics,B,A,0,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,A,B,0,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,C,D,0,Qwen3.5-9B
business_ethics,D,A,0,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,A,B,0,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,C,A,0,Qwen3.5-9B
business_ethics,C,B,0,Qwen3.5-9B
business_ethics,D,B,0,Qwen3.5-9B
business_ethics,C,A,0,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,C,B,0,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,A,C,0,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
business_ethics,C,B,0,Qwen3.5-9B
business_ethics,D,A,0,Qwen3.5-9B
business_ethics,C,D,0,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,D,B,0,Qwen3.5-9B
business_ethics,C,A,0,Qwen3.5-9B
business_ethics,C,C,1,Qwen3.5-9B
business_ethics,A,A,1,Qwen3.5-9B
business_ethics,D,D,1,Qwen3.5-9B
business_ethics,B,B,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,C,B,0,Qwen3.5-9B
clinical_knowledge,A,D,0,Qwen3.5-9B
clinical_knowledge,D,B,0,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,C,A,0,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,B,A,0,Qwen3.5-9B
clinical_knowledge,C,B,0,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,A,0,Qwen3.5-9B
clinical_knowledge,D,B,0,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,C,D,0,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,C,0,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,C,0,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,D,C,0,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,C,D,0,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,A,0,Qwen3.5-9B
clinical_knowledge,B,D,0,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,A,B,0,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,C,D,0,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,A,B,0,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,D,0,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,C,C,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,B,B,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
clinical_knowledge,A,A,1,Qwen3.5-9B
clinical_knowledge,D,D,1,Qwen3.5-9B
